var,name,mean,lwr,upr,string
Peak Ct,"First Infection, baseline",25.5,24.4,26.5,"25.5 (24.4, 26.5)"
Peak Ct,"Second Infection, baseline",26.4,25,27.6,"26.4 (25, 27.6)"
Peak Ct,"First Infection, with two well-documented",25.9,24.6,27.1,"25.9 (24.6, 27.1)"
Peak Ct,"Second Infection, with two well-documented",27.3,25.9,28.6,"27.3 (25.9, 28.6)"
Peak GEML,"First Infection, baseline",6.7,6.4,7,"6.7 (6.4, 7)"
Peak GEML,"Second Infection, baseline",6.4,6.1,6.8,"6.4 (6.1, 6.8)"
Peak GEML,"First Infection, with two well-documented",6.6,6.2,6.9,"6.6 (6.2, 6.9)"
Peak GEML,"Second Infection, with two well-documented",6.2,5.8,6.6,"6.2 (5.8, 6.6)"
Proliferation time,"First Infection, baseline",5,4.3,5.8,"5 (4.3, 5.8)"
Proliferation time,"Second Infection, baseline",4.3,3.4,5.4,"4.3 (3.4, 5.4)"
Proliferation time,"First Infection, with two well-documented",4.4,3.6,5.4,"4.4 (3.6, 5.4)"
Proliferation time,"Second Infection, with two well-documented",4.3,3.3,5.5,"4.3 (3.3, 5.5)"
Clearance time,"First Infection, baseline",9.2,8.4,10.1,"9.2 (8.4, 10.1)"
Clearance time,"Second Infection, baseline",6.7,5.9,7.6,"6.7 (5.9, 7.6)"
Clearance time,"First Infection, with two well-documented",9.1,8.1,10.2,"9.1 (8.1, 10.2)"
Clearance time,"Second Infection, with two well-documented",6.3,5.4,7.2,"6.3 (5.4, 7.2)"
Proliferation rate (Ct/day),"First Infection, baseline",2.9,2.4,3.5,"2.9 (2.4, 3.5)"
Proliferation rate (Ct/day),"Second Infection, baseline",3.2,2.4,4.1,"3.2 (2.4, 4.1)"
Proliferation rate (Ct/day),"First Infection, with two well-documented",3.2,2.5,4.1,"3.2 (2.5, 4.1)"
Proliferation rate (Ct/day),"Second Infection, with two well-documented",3.1,2.2,4,"3.1 (2.2, 4)"
Clearance rate (Ct/day),"First Infection, baseline",1.6,1.4,1.8,"1.6 (1.4, 1.8)"
Clearance rate (Ct/day),"Second Infection, baseline",2,1.7,2.4,"2 (1.7, 2.4)"
Clearance rate (Ct/day),"First Infection, with two well-documented",1.6,1.3,1.8,"1.6 (1.3, 1.8)"
Clearance rate (Ct/day),"Second Infection, with two well-documented",2,1.7,2.5,"2 (1.7, 2.5)"
Symmetry (proliferation/clearance),"First Infection, baseline",0.5,0.4,0.7,"0.5 (0.4, 0.7)"
Symmetry (proliferation/clearance),"Second Infection, baseline",0.7,0.5,0.9,"0.7 (0.5, 0.9)"
Symmetry (proliferation/clearance),"First Infection, with two well-documented",0.5,0.4,0.6,"0.5 (0.4, 0.6)"
Symmetry (proliferation/clearance),"Second Infection, with two well-documented",0.7,0.5,0.9,"0.7 (0.5, 0.9)"
